planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Mandai,90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10,2120,Total,2015
Mandai,40,70,80,90,90,70,70,100,100,100,80,70,40,40,30,20,10,10,1120,Female,2015
Marine Parade,2180,2710,2690,2600,2690,2610,2880,3860,4580,3830,3680,3370,2890,2760,1780,1650,1030,940,48730,Total,2015
Marine Parade,1130,1330,1340,1260,1300,1240,1270,1730,2150,1910,1770,1680,1350,1250,800,730,430,320,22970,Male,2015
Marine Parade,1050,1380,1350,1340,1390,1370,1610,2140,2430,1920,1910,1690,1550,1510,990,930,600,620,25770,Female,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Total,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Novena,2260,2770,2510,2540,2570,2640,3030,3980,4510,3910,3710,3360,2860,2460,1590,1380,980,930,47990,Total,2015
Novena,1150,1530,1320,1270,1240,1230,1350,1780,2200,1950,1870,1680,1380,1160,740,590,400,320,23160,Male,2015
Novena,1120,1240,1190,1270,1330,1410,1680,2200,2310,1960,1850,1680,1490,1300,840,790,580,610,24830,Female,2015
Pasir Ris,2800,3440,4380,6000,6510,4480,4110,4920,5420,7190,6830,5020,3330,2250,1300,1100,840,810,70740,Female,2015
Pasir Ris,5760,7100,9020,12330,13410,9100,7980,9090,10360,12960,14080,10480,7040,4470,2340,1900,1350,1140,139890,Total,2015
Pasir Ris,2960,3660,4640,6320,6900,4610,3870,4160,4940,5770,7250,5450,3720,2210,1040,790,510,330,69150,Male,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Total,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
